Convolvulus tricolor
Coronilla minima
Coronilla scorpioides
Corrigiola litoralis
Corrigiola telephiifolia
Cortaderia selloana
Corydalis cava
Corynephorus canescens
Cosentinia vellea
Cotula australis
Cotula coronopifolia
Crambe hispanica
Crassula tillaea
Crepis capillaris
Crepis foetida
Crepis pulchra
Crepis vesicaria
Crithmum maritimum
Crocus carpetanus
Crocus serotinus
Crucianella angustifolia
Cruciata glabra
Cruciata laevipes
Cruciata pedemontana
Crupina vulgaris
Cryptogramma crispa
Cuscuta epithymum
Cymbalaria muralis
Cymodocea nodosa
Cynanchum acutum
Cynara cardunculus
Cynara humilis
Cynodon dactylon
Cynoglossum clandestinum
Cynoglossum creticum
Cynomorium coccineum
Cynosurus cristatus
Cynosurus echinatus
Cyperus capitatus
Cyperus eragrostis
Cyperus esculentus
Cyperus fuscus
Cyperus longus
Cyperus michelianus
Cyperus rotundus
Cystopteris fragilis
Cytinus hypocistis
Cytinus ruber
Dactylis glomerata
Dactylorhiza elata
Dactylorhiza insularis
Dactylorhiza maculata
Danthonia decumbens
Datura stramonium
Daucus carota
Daucus muricatus
Davallia canariensis
Delphinium gracile
Delphinium halteratum
Delphinium pentagynum
Deschampsia cespitosa
Dianthus armeria
Dianthus broteri
Dianthus hyssopifolius
Digitalis purpurea
Digitalis thapsi
Digitaria ischaemum
Digitaria sanguinalis
Dipcadi serotinum
Diplotaxis catholica
Diplotaxis muralis
Diplotaxis tenuifolia
Diplotaxis virgata
Dipsacus comosus
Dipsacus fullonum
Dittrichia graveolens
Doronicum plantagineum
Dorycnopsis gerardi
Draba muralis
Drosera intermedia
Drosera rotundifolia
Drosophyllum lusitanicum
Dryopteris affinis
Dryopteris carthusiana
Dryopteris dilatata
Dryopteris expansa
Dryopteris filix-mas
Ecballium elaterium
Echinochloa crus-galli
Echinops strigosus
Echium boissieri
Echium creticum
Echium gaditanum
Echium lusitanicum
Echium plantagineum
Echium rosulatum
Echium vulgare
Eclipta prostrata
Egeria densa
Eichhornia crassipes
Elatine hexandra
Eleocharis acicularis
Eleocharis multicaulis
Eleocharis palustris
Eleocharis uniglumis
Elymus athericus
Elymus caninus
Elymus repens
Epilobium brachycarpum
Epilobium hirsutum
Epilobium lanceolatum
Epilobium obscurum
Epilobium palustre
Epilobium parviflorum
Epilobium tetragonum
Epipactis helleborine
Epipactis tremolsii
Equisetum arvense
Equisetum palustre
Equisetum ramosissimum
Equisetum telmateia
Eragrostis minor
Eragrostis pilosa
Erigeron acris
Erigeron karvinskianus
Eriophorum angustifolium
Erodium botrys
Erodium chium
Erodium laciniatum
Erodium malacoides
Erodium moschatum
Erophaca baetica
Erucastrum nasturtiifolium
Eruca vesicaria
Eryngium campestre
Eryngium dilatatum
Eryngium duriaei
Eryngium maritimum
Eryngium pandanifolium
Erythronium dens-canis
Eschscholzia californica
Eupatorium cannabinum
Euphorbia amygdaloides
Euphorbia angulata
Euphorbia characias
Euphorbia dulcis
Euphorbia esula
Euphorbia exigua
Euphorbia falcata
Euphorbia flavicoma
Euphorbia helioscopia
Euphorbia hirsuta
Euphorbia hyberna
Euphorbia lathyris
Euphorbia nicaeensis
Euphorbia paniculata
Euphorbia paralias
Euphorbia peplus
Euphorbia portlandica
